iter	RMSE
0	0.9795134966
1	0.9483612177
2	0.9248865141
3	0.9008620479
4	0.8845866392
5	0.8651459895
6	0.8486310474
7	0.836863358
8	0.8223294749
9	0.8119626503
10	0.8041440475
11	0.7940030065
12	0.7871812553
13	0.7802028184
14	0.7687439186
15	0.7609791183
16	0.7531308381
17	0.7483274636
18	0.7440718149
19	0.7395379293
20	0.7360446532
21	0.7319051542
22	0.7286310464
23	0.7254096056
24	0.7220075911
25	0.7191641055
26	0.7160210409
27	0.7125341134
28	0.7083789823
29	0.7036539579
30	0.7010133371
31	0.6991756091
32	0.6950695976
33	0.6921609298
34	0.6896081689
35	0.6875563277
36	0.6853693717
37	0.6825394581
38	0.6808774197
39	0.679471739
40	0.6774842902
41	0.6757192598
42	0.6739479502
43	0.6726349741
44	0.6712684709
45	0.6685800256
46	0.6674255819
47	0.6658516987
48	0.6646401727
49	0.6629047537
50	0.6620770434
51	0.6595170345
52	0.658237586
53	0.6568351828
54	0.6556092492
55	0.6542517745
56	0.6529055062
57	0.6525184342
58	0.6511520502
59	0.6498267016
60	0.6488494052
61	0.6484132601
62	0.6477022262
63	0.6463556286
64	0.6454541086
65	0.644513101
66	0.6433840676
67	0.6432395875
68	0.641808061
69	0.6407083127
70	0.638777862
71	0.6377222006
72	0.6368644304
73	0.6359241514
74	0.6345064831
75	0.6343431051
76	0.6337258336
77	0.632563968
78	0.6318611241
79	0.6311033965
80	0.6298827193
81	0.6292778967
82	0.6290295158
83	0.6277511914
84	0.6266886898
85	0.6257799075
86	0.6247939222
87	0.6246415061
88	0.6238480634
89	0.6229060898
90	0.6217797146
91	0.6215494179
92	0.6205509238
93	0.6203647199
94	0.6194624875
95	0.6186022556
96	0.6180835577
97	0.6169792362
98	0.6168209424
99	0.6159804533
100	0.6151740398
101	0.6150165403
102	0.6148322346
103	0.6134395831
104	0.6129155063
105	0.6121632908
106	0.6113076714
107	0.610427918
108	0.6102634831
109	0.6095821463
110	0.6084257342
111	0.6073326978
112	0.60661996
113	0.6058733913
114	0.6049165144
115	0.6042335132
116	0.6040739373
117	0.603484052
118	0.6026311318
119	0.6020220305
120	0.6018709446
121	0.6011799065
122	0.6000663479
123	0.5993505702
124	0.5992053164
125	0.5987258502
126	0.5981931625
127	0.5973880805
128	0.596945659
129	0.5961991839
130	0.5955930423
131	0.5947531702
132	0.5943698941
133	0.5942289323
134	0.5934457856
135	0.5933106726
136	0.5927542077
137	0.5921336983
138	0.5917415708
139	0.5912397523
140	0.5902587004
141	0.5893359227
142	0.588514151
143	0.5879544919
144	0.587367636
145	0.5868198364
146	0.5860345221
147	0.5853542467
148	0.5852231514
149	0.5847568591
150	0.5840799538
151	0.5839215458
152	0.5832732982
153	0.582516282
154	0.5819712417
155	0.5814239915
156	0.5809623834
157	0.5805920096
158	0.5796310909
159	0.5793165278
160	0.5791929758
161	0.5783959382
162	0.5782781249
163	0.5776865032
164	0.5771903898
165	0.5766752121
166	0.5763774756
167	0.5758138565
168	0.5750759152
169	0.5747143683
170	0.5741341283
171	0.5740213863
172	0.573478412
173	0.5732057778
174	0.5726790505
175	0.5723902598
176	0.5719704427
177	0.571508639
178	0.571088981
179	0.5705261602
180	0.5696684282
181	0.5692031028
182	0.5686369033
183	0.5681586087
184	0.567775883
185	0.5670731372
186	0.5668825829
187	0.5665816924
188	0.5662331828
189	0.5661252112
190	0.5660187882
191	0.5659171639
192	0.5657348296
193	0.5656391493
194	0.5650956627
195	0.5646186032
196	0.5641895256
197	0.5637659842
198	0.5636731129
199	0.5632473718
200	0.5629466294
201	0.5625101762
202	0.5620170566
203	0.5615667222
204	0.5613416079
205	0.561251323
206	0.5607374333
207	0.560283911
208	0.5600068171
209	0.5594891599
